# latitude_deg: 33.024436, annual_dni_kWh_per_m2: 2703.996000
# azimuth_deg, elevation_deg, weight
118.273167, 0.000000, -8344.573088
129.341920, 12.837540, 88576.075602
143.121700, 23.543760, 53447.767690
160.250612, 30.905962, 94480.999698
180.000000, 33.575564, 71821.446586
199.749388, 30.905962, 91255.208375
216.878300, 23.543760, 48952.618507
230.658080, 12.837540, 81070.180388
241.726833, 0.000000, -9783.585933
90.000000, 0.000000, 22249.772992
100.041847, 15.016171, 101847.722284
111.601746, 29.526207, 130739.459769
126.874428, 42.711780, 170269.012610
149.197171, 52.882735, 168165.568091
180.000000, 56.975564, 175187.448247
210.802829, 52.882735, 168354.560329
233.125572, 42.711780, 161147.726036
248.398254, 29.526207, 124220.067559
259.958153, 15.016171, 97085.819418
270.000000, 0.000000, 21178.100188
61.726833, 0.000000, 934.263731
72.403159, 16.414120, 58370.560208
82.243085, 33.789825, 93638.538660
93.281865, 51.577461, 104050.442119
111.797074, 68.990579, 105113.787435
180.000000, 80.375564, 112685.652857
248.202926, 68.990579, 107749.406057
266.718135, 51.577461, 108329.508050
277.756915, 33.789825, 100930.276332
287.596841, 16.414120, 58895.616441
298.273167, 0.000000, 2631.079992
