# latitude_deg: 33.024436,  annual_dni_kWh_per_m2: 2703.996000
# heliostats: 300, mirror_area_each: 16.483600, mirror_area_total: 4945.080000
# azimuth_deg, elevation_deg, weight, efficiency
118.273167, 0, -8344.573088, 0.042753945650430475
129.34192, 12.83754, 88576.075602, 0.39425139011320953
143.1217, 23.54376, 53447.76769, 0.5084264856831978
160.250612, 30.905962, 94480.999698, 0.5596497153060856
180, 33.575564, 71821.446586, 0.573052195498562
199.749388, 30.905962, 91255.208375, 0.5589059700099742
216.8783, 23.54376, 48952.618507, 0.5072555006344165
230.65808, 12.83754, 81070.180388, 0.39462968854399766
241.726833, 0, -9783.585933, 0.04263268653007661
90, 0, 22249.772992, 0.03529086121404255
100.041847, 15.016171, 101847.722284, 0.34483785741620054
111.601746, 29.526207, 130739.459769, 0.46227570548215774
126.874428, 42.71178, 170269.01261, 0.5222831112617348
149.197171, 52.882735, 168165.568091, 0.5602999080904953
180, 56.975564, 175187.448247, 0.5742270932180151
210.802829, 52.882735, 168354.560329, 0.5590498621948842
233.125572, 42.71178, 161147.726036, 0.5222782534746396
248.398254, 29.526207, 124220.067559, 0.462406144408989
259.958153, 15.016171, 97085.819418, 0.3450408563103127
270, 0, 21178.100188, 0.03538986068327324
61.726833, 0, 934.263731, 0.035811226448587315
72.403159, 16.41412, 58370.560208, 0.27768249728588246
82.243085, 33.789825, 93638.53866, 0.39096797122010185
93.281865, 51.577461, 104050.442119, 0.46666420546024917
111.797074, 68.990579, 105113.787435, 0.5188318424575281
180, 80.375564, 112685.652857, 0.5355381123416041
248.202926, 68.990579, 107749.406057, 0.5170820631665146
266.718135, 51.577461, 108329.50805, 0.4669052857575551
277.756915, 33.789825, 100930.276332, 0.3918217939635595
287.596841, 16.41412, 58895.616441, 0.2775185860845229
298.273167, 0, 2631.079992, 0.03567673952046863
