generation_id,candidate_id,candidate_tag,receiver_height,r_min,packing,inner_bias,azimuth_multiplier,beta_deg,bubble_radius,delta,flat_receiver_radius,flat_receiver_tilt,min_tower_clearance,num_heliostats,radial_multiplier,split_threshold,fitnessValue
000,0200,HASL_000_0200,69.309639,10.682151,0.552439,0.398592,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.343180
000,0199,HASL_000_0199,47.879462,23.289777,0.691900,0.169475,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.435691
000,0198,HASL_000_0198,65.389599,20.800677,0.428275,0.505753,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.365973
000,0197,HASL_000_0197,44.526048,10.210954,0.737433,0.212175,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.432027
000,0196,HASL_000_0196,49.417489,19.114513,0.715680,0.630334,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.411645
000,0195,HASL_000_0195,35.590205,10.670939,0.736345,0.423466,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.445399
000,0194,HASL_000_0194,46.070196,15.891731,0.887714,0.059929,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.426137
000,0193,HASL_000_0193,43.020706,28.369125,0.417167,0.429239,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.457505
000,0192,HASL_000_0192,35.846524,10.043469,0.711277,0.600162,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.446422
000,0191,HASL_000_0191,36.988347,22.794943,0.519954,0.080025,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.437590
000,0190,HASL_000_0190,35.867438,25.177556,0.412208,0.845216,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.468409
000,0189,HASL_000_0189,43.817149,23.733023,0.896429,0.486079,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.444878
000,0188,HASL_000_0188,68.130522,26.794767,0.771724,0.775757,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.361228
000,0187,HASL_000_0187,43.645969,18.573870,0.652948,0.149627,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.423621
000,0186,HASL_000_0186,37.853745,22.386242,0.575322,0.300840,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.438043
000,0185,HASL_000_0185,69.478668,29.241197,0.819160,0.831625,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.363234
000,0184,HASL_000_0184,58.466037,10.148414,0.618024,0.025345,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.388395
000,0183,HASL_000_0183,61.905474,23.263295,0.841507,0.702451,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.386972
000,0182,HASL_000_0182,69.680257,15.930904,0.462863,0.810488,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.351468
000,0181,HASL_000_0181,65.371911,28.010503,0.547534,0.594604,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.378863
000,0180,HASL_000_0180,62.816391,24.774655,0.531388,0.822881,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.381916
000,0179,HASL_000_0179,62.741607,10.511841,0.447341,0.382415,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.372257
